"Step","MIFL - test_acc5","MIFL - test_acc5__MIN","MIFL - test_acc5__MAX","Missing-modal FedAvg - test_acc5","Missing-modal FedAvg - test_acc5__MIN","Missing-modal FedAvg - test_acc5__MAX","FedMSplit - test_acc5","FedMSplit - test_acc5__MIN","FedMSplit - test_acc5__MAX","FedAvg - test_acc5","FedAvg - test_acc5__MIN","FedAvg - test_acc5__MAX"
"134","0.772","0.772","0.772","0.78562421185372","0.78562421185372","0.78562421185372","0.73","0.73","0.73","0.712","0.712","0.712"
"135","0.778","0.778","0.778","0.7780580075662042","0.7780580075662042","0.7780580075662042","0.716","0.716","0.716","0.714","0.714","0.714"
"136","0.772","0.772","0.772","0.7818411097099621","0.7818411097099621","0.7818411097099621","0.73","0.73","0.73","0.724","0.724","0.724"
"137","0.794","0.794","0.794","0.7654476670870114","0.7654476670870114","0.7654476670870114","0.698","0.698","0.698","0.692","0.692","0.692"
"138","0.762","0.762","0.762","0.7780580075662042","0.7780580075662042","0.7780580075662042","0.728","0.728","0.728","0.708","0.708","0.708"
"139","0.768","0.768","0.768","0.7692307692307693","0.7692307692307693","0.7692307692307693","0.732","0.732","0.732","0.708","0.708","0.708"
"140","0.772","0.772","0.772","0.7742749054224464","0.7742749054224464","0.7742749054224464","0.732","0.732","0.732","0.718","0.718","0.718"
"141","0.788","0.788","0.788","0.7818411097099621","0.7818411097099621","0.7818411097099621","0.708","0.708","0.708","0.73","0.73","0.73"
"142","0.774","0.774","0.774","0.7818411097099621","0.7818411097099621","0.7818411097099621","0.696","0.696","0.696","0.7","0.7","0.7"
"143","0.78","0.78","0.78","0.7704918032786885","0.7704918032786885","0.7704918032786885","0.724","0.724","0.724","0.72","0.72","0.72"
"144","0.762","0.762","0.762","0.7692307692307693","0.7692307692307693","0.7692307692307693","0.712","0.712","0.712","0.742","0.742","0.742"
"145","0.772","0.772","0.772","0.7667087011349306","0.7667087011349306","0.7667087011349306","0.73","0.73","0.73","0.702","0.702","0.702"
"146","0.754","0.754","0.754","0.7704918032786885","0.7704918032786885","0.7704918032786885","0.73","0.73","0.73","0.712","0.712","0.712"
"147","0.776","0.776","0.776","0.7805800756620429","0.7805800756620429","0.7805800756620429","0.742","0.742","0.742","0.718","0.718","0.718"
"148","0.768","0.768","0.768","0.7679697351828499","0.7679697351828499","0.7679697351828499","0.724","0.724","0.724","0.754","0.754","0.754"
"149","0.762","0.762","0.762","0.7717528373266078","0.7717528373266078","0.7717528373266078","0.722","0.722","0.722","0.724","0.724","0.724"
"150","0.756","0.756","0.756","0.7679697351828499","0.7679697351828499","0.7679697351828499","0.728","0.728","0.728","0.724","0.724","0.724"
"151","0.76","0.76","0.76","0.7755359394703657","0.7755359394703657","0.7755359394703657","0.734","0.734","0.734","0.724","0.724","0.724"
"152","0.75","0.75","0.75","0.7894073139974779","0.7894073139974779","0.7894073139974779","0.716","0.716","0.716","0.728","0.728","0.728"
"153","0.768","0.768","0.768","0.7679697351828499","0.7679697351828499","0.7679697351828499","0.72","0.72","0.72","0.732","0.732","0.732"
"154","0.792","0.792","0.792","0.7616645649432535","0.7616645649432535","0.7616645649432535","0.732","0.732","0.732","0.716","0.716","0.716"
"155","0.782","0.782","0.782","0.7667087011349306","0.7667087011349306","0.7667087011349306","0.724","0.724","0.724","0.73","0.73","0.73"
"156","0.776","0.776","0.776","0.7679697351828499","0.7679697351828499","0.7679697351828499","0.734","0.734","0.734","0.72","0.72","0.72"
"157","0.784","0.784","0.784","0.7641866330390921","0.7641866330390921","0.7641866330390921","0.724","0.724","0.724","0.738","0.738","0.738"
"158","0.79","0.79","0.79","0.7730138713745272","0.7730138713745272","0.7730138713745272","0.726","0.726","0.726","0.748","0.748","0.748"
"159","0.76","0.76","0.76","0.7742749054224464","0.7742749054224464","0.7742749054224464","0.72","0.72","0.72","0.734","0.734","0.734"
"160","0.774","0.774","0.774","0.7654476670870114","0.7654476670870114","0.7654476670870114","0.718","0.718","0.718","0.736","0.736","0.736"
"161","0.788","0.788","0.788","0.7717528373266078","0.7717528373266078","0.7717528373266078","0.726","0.726","0.726","0.72","0.72","0.72"
"162","0.756","0.756","0.756","0.7704918032786885","0.7704918032786885","0.7704918032786885","0.71","0.71","0.71","0.73","0.73","0.73"
"163","0.762","0.762","0.762","0.7654476670870114","0.7654476670870114","0.7654476670870114","0.708","0.708","0.708","0.716","0.716","0.716"
"164","0.764","0.764","0.764","0.7692307692307693","0.7692307692307693","0.7692307692307693","0.712","0.712","0.712","0.714","0.714","0.714"
"165","0.768","0.768","0.768","0.7528373266078184","0.7528373266078184","0.7528373266078184","0.73","0.73","0.73","0.736","0.736","0.736"
"166","0.764","0.764","0.764","0.7742749054224464","0.7742749054224464","0.7742749054224464","0.718","0.718","0.718","0.72","0.72","0.72"
"167","0.776","0.776","0.776","0.7692307692307693","0.7692307692307693","0.7692307692307693","0.72","0.72","0.72","0.722","0.722","0.722"
"168","0.766","0.766","0.766","0.7717528373266078","0.7717528373266078","0.7717528373266078","0.728","0.728","0.728","0.704","0.704","0.704"
"169","0.772","0.772","0.772","0.78562421185372","0.78562421185372","0.78562421185372","0.716","0.716","0.716","0.716","0.716","0.716"
"170","0.768","0.768","0.768","0.7692307692307693","0.7692307692307693","0.7692307692307693","0.712","0.712","0.712","0.724","0.724","0.724"
"171","0.766","0.766","0.766","0.7667087011349306","0.7667087011349306","0.7667087011349306","0.706","0.706","0.706","0.724","0.724","0.724"
"172","0.772","0.772","0.772","0.7667087011349306","0.7667087011349306","0.7667087011349306","0.722","0.722","0.722","0.722","0.722","0.722"
"173","0.76","0.76","0.76","0.7742749054224464","0.7742749054224464","0.7742749054224464","0.722","0.722","0.722","0.716","0.716","0.716"
"174","0.778","0.778","0.778","0.7515762925598991","0.7515762925598991","0.7515762925598991","0.716","0.716","0.716","0.712","0.712","0.712"
"175","0.768","0.768","0.768","0.7566204287515763","0.7566204287515763","0.7566204287515763","0.728","0.728","0.728","0.732","0.732","0.732"
"176","0.784","0.784","0.784","0.7490542244640606","0.7490542244640606","0.7490542244640606","0.718","0.718","0.718","0.728","0.728","0.728"
"177","0.778","0.778","0.778","0.7641866330390921","0.7641866330390921","0.7641866330390921","0.722","0.722","0.722","0.746","0.746","0.746"
"178","0.78","0.78","0.78","0.7604035308953342","0.7604035308953342","0.7604035308953342","0.728","0.728","0.728","0.72","0.72","0.72"
"179","0.748","0.748","0.748","0.7894073139974779","0.7894073139974779","0.7894073139974779","0.71","0.71","0.71","0.736","0.736","0.736"
"180","0.782","0.782","0.782","0.776796973518285","0.776796973518285","0.776796973518285","0.732","0.732","0.732","0.714","0.714","0.714"
"181","0.778","0.778","0.778","0.7742749054224464","0.7742749054224464","0.7742749054224464","0.726","0.726","0.726","0.712","0.712","0.712"
"182","0.754","0.754","0.754","0.7742749054224464","0.7742749054224464","0.7742749054224464","0.746","0.746","0.746","0.722","0.722","0.722"
"183","0.784","0.784","0.784","0.7591424968474149","0.7591424968474149","0.7591424968474149","0.702","0.702","0.702","0.712","0.712","0.712"
"184","0.758","0.758","0.758","0.776796973518285","0.776796973518285","0.776796973518285","0.736","0.736","0.736","0.724","0.724","0.724"
"185","0.766","0.766","0.766","0.7540983606557377","0.7540983606557377","0.7540983606557377","0.728","0.728","0.728","0.734","0.734","0.734"
"186","0.766","0.766","0.766","0.7679697351828499","0.7679697351828499","0.7679697351828499","0.734","0.734","0.734","0.73","0.73","0.73"
"187","0.762","0.762","0.762","0.7704918032786885","0.7704918032786885","0.7704918032786885","0.734","0.734","0.734","0.72","0.72","0.72"
"188","0.778","0.778","0.778","0.7629255989911727","0.7629255989911727","0.7629255989911727","0.732","0.732","0.732","0.734","0.734","0.734"
"189","0.78","0.78","0.78","0.7742749054224464","0.7742749054224464","0.7742749054224464","0.734","0.734","0.734","0.732","0.732","0.732"
"190","0.77","0.77","0.77","0.7894073139974779","0.7894073139974779","0.7894073139974779","0.73","0.73","0.73","0.73","0.73","0.73"
"191","0.782","0.782","0.782","0.7831021437578815","0.7831021437578815","0.7831021437578815","0.712","0.712","0.712","0.738","0.738","0.738"
"192","0.758","0.758","0.758","0.7692307692307693","0.7692307692307693","0.7692307692307693","0.702","0.702","0.702","0.726","0.726","0.726"
"193","0.77","0.77","0.77","0.7515762925598991","0.7515762925598991","0.7515762925598991","0.716","0.716","0.716","0.732","0.732","0.732"
